ross_inc_id,sitnum,time_since_disco,ic_name
147956,3,2,chris ourada
147956,4,3,chris ourada
147956,5,4,chris ourada
147956,6,5,chris ourada
147956,7,6,chris ourada
147956,8,7,chris ourada
120624,1,1,dan cather
57098,5,4,larry svalberg
57098,6,5,larry svalberg
57098,7,6,larry svalberg
57098,8,7,larry svalberg
57098,9,8,larry svalberg
57098,10,9,larry svalberg
57098,11,10,larry svalberg
57098,12,11,larry svalberg
57098,13,12,larry svalberg
57098,14,13,larry svalberg
57098,15,14,larry svalberg
57098,16,15,larry svalberg
57098,17,16,larry svalberg
57098,18,17,larry svalberg
57098,19,18,larry svalberg
57098,20,19,larry svalberg
57098,21,20,larry svalberg
70647,1,1,tom warfield
101597,1,2,aaron jones
101597,2,3,aaron jones
101597,3,4,aaron jones
101597,4,5,aaron jones
101597,5,6,aaron jones
145180,1,0,aaron knutson
153625,1,0,abdul ahmad
143773,2,4,abel harrington
143773,3,5,abel harrington
62165,1,0,ac lee
57236,2,1,steve acarregui
161259,1,1,adam bearcub
161259,2,2,adam bearcub
161259,3,3,adam bearcub
107921,1,1,adam bearcub
59634,1,0,adam bearcub
141200,1,0,adam heyder
140796,1,0,adam heyder
140796,1,0,colt coates
159803,1,1,adam johnson
72252,1,0,al case
72252,2,1,al case
55110,1,0,al case
160526,1,0,"al case, craig cunningham"
160526,2,1,"al case, craig cunningham"
162880,2,1,"al case, john holmes"
162880,3,2,"al case, john holmes"
160774,1,1,al crouch
49087,1,1,al harrison
49087,2,2,al harrison
117224,1,2,alan osborne
70995,1,0,alan sinclair
70995,3,2,alan sinclair
142656,2,2,alan syphus
148496,1,1,albert charlie
148496,2,3,albert charlie
147745,2,1,albert savage
147745,3,2,albert savage
147745,4,3,albert savage
131332,1,0,albert savage
146444,1,1,albert savage
146444,2,2,albert savage
117894,1,1,albert savage
110332,3,3,aldon coriz
99850,1,0,alec lane
147577,2,1,alex abols
117560,3,3,alex abols
117560,4,4,alex abols
121889,1,0,alex abols
142648,1,0,alex mcbath
142648,2,1,alex mcbath
130762,1,10,allan hepworth
77900,1,5,allen hubbs
69271,19,22,allen johnson
93940,2,2,allen johnson
69271,20,23,allen johnson
69271,21,24,allen johnson
51027,3,2,allen johnson
59346,2,3,allen johnson
59346,3,4,allen johnson
59346,4,5,allen johnson
59346,5,6,allen johnson
105149,2,1,allen johnson
105149,3,2,allen johnson
105149,4,3,allen johnson
101383,5,34,allen johnson
101383,6,35,allen johnson
101383,7,36,allen johnson
105149,5,4,allen johnson
105149,5,4,jeff millar
105149,6,5,allen johnson
105149,6,5,jeff millar
105149,7,6,allen johnson
105149,7,6,lyn rambo
49497,2,1,andrew bennett
122637,1,1,andrew molder
145585,2,3,andrew serrano
145585,3,4,andrew serrano
146062,2,2,andrew serrano
146062,3,3,andrew serrano
120177,1,0,andrew valdez
120255,1,1,"andring, richard"
157082,1,0,andy bernard
157082,2,2,andy bernard
61867,1,8,andy bundshuh
60129,2,1,andy delmas
53932,1,1,andy green
71773,1,0,andy green
54792,2,3,andy lang
54792,3,4,andy lang
119185,3,3,andy schell
148421,1,0,anthony anderson
148421,2,2,anthony anderson
103783,2,6,anthony best
162534,1,0,anthony hernandez
138315,1,1,anthony sanchez
138315,2,2,anthony sanchez
160806,1,1,aquisio budd
160271,1,0,arnold degarmo
146947,1,0,"arshapanek, brian"
125327,1,0,art arias
71672,1,1,mike nobles
136701,2,2,chase frisbee
120281,1,2,ken rodgers
132597,8,35,rogers dave crousser
