ross_inc_id,sitnum,time_since_disco,ic_name
154405,1,1,           kaslin /  d'andrea
147956,3,2,       chris ourada
147956,4,3,       chris ourada
147956,5,4,       chris ourada
147956,6,5,       chris ourada
147956,7,6,       chris ourada
147956,8,7,       chris ourada
154405,2,2,       kaslin /  d'andrea
120624,1,1, dan cather
157337,8,19, dunford
57098,5,4, larry svalberg
57098,6,5, larry svalberg
57098,7,6, larry svalberg
57098,8,7, larry svalberg
57098,9,8, larry svalberg
57098,10,9, larry svalberg
57098,11,10, larry svalberg
57098,12,11, larry svalberg
57098,13,12, larry svalberg
57098,14,13, larry svalberg
57098,15,14, larry svalberg
57098,16,15, larry svalberg
57098,17,16, larry svalberg
57098,18,17, larry svalberg
57098,19,18, larry svalberg
57098,20,19, larry svalberg
57098,21,20, larry svalberg
70647,1,1, tom warfield
145120,10,9,2/ourada; 1/pendleton
145120,11,10,2/ourada; 1/pendleton
134272,1,11,21563
60610,1,0,a. bearcub
165386,1,0,a. harington
165386,2,1,a. harington
140496,1,0,a. montes
53328,2,1,a. serrano
60710,1,0,a. shreve
160211,1,0,a.burwick/j.calnan
101597,1,2,aaron jones
101597,2,3,aaron jones
101597,3,4,aaron jones
101597,4,5,aaron jones
101597,5,6,aaron jones
145180,1,0,aaron knutson
153625,1,0,abdul ahmad
143773,2,4,abel harrington
143773,3,5,abel harrington
145766,1,0,abell
62165,1,0,ac7 lee
57236,1,0,acarregui
57236,2,1,"acarregui, steve"
72099,1,-101,achziger
68088,1,0,acuna
158629,1,1,acuna
161259,1,1,adam bearcub
161259,2,2,adam bearcub
161259,3,3,adam bearcub
107921,1,1,adam bearcub
59634,1,0,adam bearcub
141200,1,0,adam heyder
140796,1,0,adam heyder/colt coates
159803,1,1,adam johnson
160034,1,6,adams
142161,4,3,adell
139480,6,5,adell
140956,1,1,agan
161467,1,1,agner
157721,1,0,ahlveers
157721,2,1,ahlvers
157721,3,2,ahlvers/walker
140233,1,0,ahmad
102620,1,3,ahshapanek
55582,32,36,ahshapanek (t)
55582,33,37,ahshapanek (t)
55582,34,38,ahshapanek (t)
55582,35,39,ahshapanek (t)
55582,39,43,ahshapanek (t)
55582,40,44,ahshapanek (t)
55582,41,45,ahshapanek (t)
55582,42,46,ahshapanek (t)
72252,1,0,al case
72252,2,1,al case
55110,1,0,al case
160526,1,0,"al case, craig cunningham (t) "
160526,2,1,"al case, craig cunningham (t) "
162880,2,1,"al case, john holmes (t)"
162880,3,2,"al case, john holmes (t)"
160774,1,1,al crouch
49087,1,1,al harrison
49087,2,2,al harrison
117224,1,2,alan osborne
70995,1,0,alan sinclair
70995,3,2,alan sinclair
142656,2,2,alan syphus
155452,1,0,alarid/cosey
148496,1,1,albert charlie
148496,2,3,albert charlie
147745,2,1,albert savage
147745,3,2,albert savage
147745,4,3,albert savage
131332,1,0,albert savage
146444,1,1,albert savage
146444,2,2,albert savage
117894,1,1,albert savage
110332,3,3,aldon coriz
99850,1,0,alec lane
147577,2,1,alex abols
117560,3,3,alex abols
117560,4,4,alex abols
121889,1,0,alex abols
142648,1,0,alex mcbath
142648,2,1,alex mcbath
142935,2,2,alexander
130762,1,10,allan hepworth
58745,1,0,allbee
119495,1,2,allen
77900,1,5,allen hubbs
69271,19,22,allen jhonson
93940,2,2,allen johnson
69271,20,23,allen johnson
69271,21,24,allen johnson
51027,3,2,allen johnson
59346,2,3,allen johnson
59346,3,4,allen johnson
59346,4,5,allen johnson
59346,5,6,allen johnson
105149,2,1,allen johnson
105149,3,2,allen johnson
105149,4,3,allen johnson
101383,5,34,allen johnson
101383,6,35,allen johnson
101383,7,36,allen johnson
105149,5,4,allen johnson/jeff millar
105149,6,5,allen johnson/jeff millar
105149,7,6,allen johnson/lyn rambo
53706,1,1,aloise
137987,1,0,alyea
103860,8,9,amaya
145257,2,1,anacker
145579,1,1,anacker
145579,2,4,anacker
145579,3,5,anacker
145579,4,6,anacker
145579,5,7,anacker
145579,6,8,anacker
131823,1,1,anderson
159787,1,0,anderson/norman
147535,1,0,anderson/stratton
49497,2,1,andrew bennett
122637,1,1,andrew molder
145585,2,3,andrew serrano
145585,3,4,andrew serrano
146062,2,2,andrew serrano
146062,3,3,andrew serrano
120177,1,0,andrew valdez
47974,1,0,andrews
47974,2,1,andrews
47974,3,2,andrews
120255,1,1,"andring, richard"
157082,1,0,andy bernard
157082,2,2,andy bernard
61867,1,8,andy bundshuh
60129,2,1,andy delmas
53932,1,1,andy green
71773,1,0,andy green
54792,2,3,andy lang
54792,3,4,andy lang
119185,3,3,andy schell
56824,1,0,angell
56824,2,1,angell
56824,3,2,angell
56824,4,3,angell
56824,5,4,angell
56824,6,5,angell
56824,7,6,angell
56824,8,7,angell
56824,9,8,angell
142161,1,0,anthony
130563,1,1,anthony
148421,1,0,anthony anderson
148421,2,2,anthony anderson
103783,2,6,"anthony best, trainee"
162534,1,0,anthony hernandez
138315,1,1,anthony sanchez
138315,2,2,anthony sanchez
160806,1,1,aquisio budd 
126027,1,1,archuleta
112851,1,1,archuleta
114269,1,0,archuleta
114269,2,1,archuleta
126723,1,1,archuleta
122621,1,0,ardoin
122621,2,1,ardoin
156398,1,1,armantrout
156398,2,2,armantrout
141744,1,0,armantrout
141744,2,1,armantrout
59487,1,0,armstrong
143552,1,1,arnberger
138583,1,0,arnold
160271,1,0,arnold degarmo
146947,1,0,"arshapanek, brian "
125327,1,0,art arias
66664,1,1,ashley
66664,2,2,ashley
137338,2,1,ashley
137338,1,0,attwell
62295,2,1,ault/joseph
62295,3,2,ault/joseph
62295,4,3,ault/joseph
62295,5,4,ault/joseph
62295,6,5,ault/joseph
62295,7,6,ault/joseph
162694,1,1,ayers/barnett
71672,1,1,b-22 mike nobles
141660,1,0,b panagopolous
141660,2,1,b panagopoulos
141660,3,2,b panagopoulos
140319,1,0,b uhlig
62225,1,0,b. ashe
104225,1,0,b. britt
74751,1,0,b. britt
74751,2,1,b. britt
138535,1,0,b. britt
138535,2,1,b. britt
138535,3,2,b. britt
167218,6,6,b. champion / s. little
167218,7,7,b. champion / s. little
136701,2,2,b. champion/ chase frisbee (t)
151409,1,1,b. finzer
158493,1,2,b. finzer/keyse(t)
70864,4,7,b. kline
70864,5,8,b. kline
70864,6,9,b. kline
70864,7,10,b. kline
70864,8,11,b. kline
154919,1,0,b. kremensky
154919,2,1,b. kremensky
143669,1,0,b. kroll
141674,1,0,b. laden
118377,1,1,b. rodello
120281,1,2,b. rodgers/ c.lundgren (t)
132597,7,33,b. rogers
132597,8,35,b. rogers dave crousser (t)
132597,9,37,b. rogers dave crousser (t)
132597,10,44,b. rogers dave crousser (t)
99935,1,0,b. schaffler
113605,1,1,b.hart
113605,2,2,b.hart
52510,1,0,b/c 1 kinsey
106931,1,0,b1618/mcgeever
106931,2,1,b1618/mcgeever
106931,3,2,b1618/mcgeever
128281,1,1,b2319 -carr
128281,2,2,b2319 -carr
164848,1,0,b2417
127757,2,1,b3511 j. veik
133838,1,0,b3514a smith
127757,1,0,b3516 m.stock
126018,1,0,b3519 - logan
153234,1,0,b4213
68710,2,1,b4311 - m. watkins
145828,1,0,b4311 - mark watkins
59418,1,0,b4312
59418,2,1,b4312 - c. tolmie
68710,1,0,b4313 - drozen
129799,1,1,babcock
129799,2,2,babcock
157928,1,0,bachman
157928,2,1,bachman
157928,3,2,bachman
105278,1,1,bacigalupo
71900,1,1,baker
71900,2,2,baker
144001,1,1,"baker, richard"
144001,2,2,"baker, richard"
144001,3,4,"baker, richard"
139977,1,0,bales
139977,2,1,bales
72027,1,1,balizan
134281,5,12,barajas
134281,6,13,barajas
131248,3,2,barker/fogerson
133486,1,1,barnett
58084,4,4,barnett / haskens
58084,5,5,barnett / haskins
58084,6,6,barnett / haskins
107921,2,2,barnett/nickey
107921,3,3,barnett/nickey
120083,1,1,barrett
114565,1,0,barrett
52281,1,0,barry bert
121092,1,0,barry burt
117560,1,1,barry burt
117560,2,2,barry burt
134674,1,1,barry burt
134674,2,2,barry burt
48979,6,6,barry chesser
48979,7,7,barry chesser
48979,8,8,barry chesser
48979,9,9,barry chesser
48979,10,10,barry chesser
48979,11,11,barry chesser
48979,12,15,barry chesser
48979,13,16,barry chesser
48979,14,17,barry chesser
48979,15,18,barry chesser
48979,16,19,barry chesser
63018,1,2,barry garten
