term,estimate,std.error,statistic,p.value
(Intercept),-2.2180907494022803,0.34900838287009195,-6.3554082316352245,2.0787381922642078e-10
L1.bi,0.008056228340567118,0.002085411159158151,3.863136679396736,1.1194033341440497e-4
L1.erc,0.018195499010231753,0.003646785324602715,4.989462606278858,6.054749291221048e-7
terrainHigh,0.1631566558947548,0.09479529045327063,1.7211472755092505,0.08522410244497533
terrainLow,0.0011647864271908273,0.25564665131652103,0.004556235809045208,0.9963646623704249
doy_cos,0.028045817341932837,0.0770723596404316,0.36388943419892655,0.7159405748543457
gaccNO,0.02975612698724804,0.2149019020511192,0.13846376743640865,0.8898739031428675
gaccNR,-0.1314358217491297,0.13915069912782171,-0.9445573940551658,0.3448848873516045
gaccNW,0.08196426966182042,0.14442637019030796,0.567515956773113,0.570363688585154
gaccRM,-0.2759960656414438,0.1728991342534177,-1.5962836762208261,0.11042547292467937
gaccSO,0.06130986285147612,0.14583163004806124,0.42041539843770814,0.6741820210884155
gaccSW,-0.1821132264013168,0.14532306483930563,-1.2531612005478467,0.2101470470300392
gaccWB,0.257318110333953,0.1492094819318482,1.724542616209094,0.08460993252812231
"splines::ns(L1.area, df = 3)1",1.929799872307497,0.32174541386131816,5.997909493557842,1.998738601644816e-9
"splines::ns(L1.area, df = 3)2",2.675766954198425,0.2220278935525506,12.05149006903996,1.9047512273187055e-33
"splines::ns(L1.area, df = 3)3",0.7965748876818141,0.389507736612594,2.0450810415457568,0.0408468690282307
cause_descrLightning,0.16174328394395845,0.10414762564915274,1.5530194081315982,0.12041849801053425
cause_descrN/A,-0.05569672079166152,0.39493178881414,-0.14102871019550448,0.8878472615502156
cause_descrUnder Investigation,0.17236543722041833,0.11605448220818916,1.4852113760777754,0.1374878394255157
year2008,-0.1590857383200978,0.14502703469501022,-1.0969385029119079,0.27266827600329296
year2009,-0.16981898803697332,0.14397928626842257,-1.17946818905865,0.23821179644654022
year2010,-0.40961984228662435,0.170100225421442,-2.408108756303798,0.016035403340947524
year2011,-0.2653577610552632,0.12647107918466188,-2.098169500616115,0.03589017481492335
year2012,-0.03829960233483939,0.10861645986290387,-0.35261324465169736,0.7243784068336305
year2013,-0.23346510132685114,0.12413460519928388,-1.8807414818136303,0.060007093903194086
PC1,0.0687311081120381,0.0231055389428728,2.9746593785140467,0.002933140421231799
PC2,0.1008608857832977,0.033763359368563964,2.9872882221905384,0.002814642275696911
PC3,0.014251507932401047,0.04369818263691216,0.32613502604482913,0.7443221975695823
PC4,0.030256607376849567,0.02108161407819576,1.4352130375132564,0.1512263995486276
PC5,-0.10391677921063207,0.05724184946394901,-1.8153987018899345,0.06946266043778644
PC6,0.015479815691451359,0.030765940890942707,0.5031478070611686,0.6148603570031006
PC7,-0.02194123504508292,0.02914112893032279,-0.7529301660736958,0.4514918796266125
PC8,-0.006312922156141761,0.04572945974951502,-0.1380493491661841,0.8902014158912683
PC9,-0.04046361124672412,0.03133045971397558,-1.2915102943310632,0.19652678780832847
PC10,0.0080497978831429,0.04356505772813735,0.1847764769044201,0.8534043588489744
PC11,-0.019170307523077783,0.04482687591414031,-0.4276520978128358,0.668904429986637
PC12,0.018961757350357416,0.04465577842555752,0.42462046388839053,0.6711133727030394
PC13,-0.08519783057528241,0.04216274496304982,-2.020689844789452,0.043311881737444935
PC14,0.16424919782247394,0.06060357578683285,2.7102228819006395,0.00672380087348522
PC15,-0.0720341980362376,0.029538278176289214,-2.438672884259735,0.014741305510346043
PC16,0.004859536125773257,0.052294748367474386,0.0929258917477788,0.9259624361018847
PC17,-0.08143950906189082,0.046594426579858794,-1.747837993505738,0.08049208432071402
PC18,0.07977972343884579,0.05265848337548906,1.5150402807837198,0.12976220358146417
PC19,0.0031199107190015957,0.052421766522894354,0.05951555863038353,0.9525414734484657
PC20,-0.023629215856019323,0.04357045277873093,-0.5423220175383169,0.587596690511837
doy_cos:gaccNO,0.1024109756182852,0.13796861229080637,0.7422773478537729,0.4579193133694524
doy_cos:gaccNR,-0.11324320803797995,0.11915176591803874,-0.9504114955029443,0.3419032051675778
doy_cos:gaccNW,-0.0018368944458476441,0.12521785332958693,-0.01466958901629418,0.988295781197235
doy_cos:gaccRM,-0.17037075065155202,0.1547039922164556,-1.101269257571428,0.2707794868705743
doy_cos:gaccSO,0.030299856768942406,0.1171501081157097,0.25864130435983124,0.7959120110381358
doy_cos:gaccSW,0.0347775420966259,0.11430008862816822,0.30426522423583924,0.7609258369598982
doy_cos:gaccWB,0.10482530785698928,0.1653963468482637,0.6337824858559729,0.5262227846887064
Effron R2,0.20591821952900613,NA,NA,NA
