term,estimate,std.error,statistic,p.value
(Intercept),-2.1569227069936754,0.3538155841481392,-6.096177793261341,1.0863458584593937e-9
L1.prcp,-0.05759380595199716,0.024819157373818058,-2.32053832789478,0.020311774023520492
L1.rmin,-0.032500759250156164,0.0052817880158078975,-6.153363056768737,7.585687987204814e-10
L1.tmax,0.0514865438313896,0.007244067061448557,7.1074085033517225,1.182420718925546e-12
L1.wind,0.06907353039279894,0.008718143492216966,7.922963238040717,2.3191616100734005e-15
terrainHigh,0.18950316206302648,0.09460412056060354,2.003117421736725,0.04516468643909819
terrainLow,0.023336501907198444,0.2387020558469064,0.09776414293710779,0.9221195807342015
doy_cos,0.027709787830504387,0.07700275185018947,0.3598545138284718,0.718955934057762
gaccNO,0.027895966683059457,0.20800062755742874,0.13411481979955764,0.8933117810082611
gaccNR,-0.12102918655731329,0.12857440315004723,-0.9413163397388777,0.3465427717230228
gaccNW,0.108667600495038,0.12698546798290108,0.8557483168835537,0.39213700832304677
gaccRM,-0.41158080517410833,0.1649257662787093,-2.4955518744025404,0.012576136549625453
gaccSO,0.11331186080906286,0.13576849485759682,0.8345961331302376,0.4039451400957405
gaccSW,-0.2206685667246971,0.1359317304463075,-1.623377897126531,0.10450864666955723
gaccWB,0.27791228595392214,0.14124658248663402,1.9675682134130263,0.04911774009827524
"splines::ns(L1.area, df = 3)1",2.1085591374012513,0.2872924397443703,7.339417421765169,2.1452557421606572e-13
"splines::ns(L1.area, df = 3)2",2.920959162898235,0.1933129413306495,15.110003204090306,1.3913297932603004e-51
"splines::ns(L1.area, df = 3)3",0.9334730226338261,0.3375604322637838,2.765350833252789,0.005686160436616192
cause_descrLightning,0.13613718700747265,0.09664674547987286,1.4086060149415365,0.15895169929120403
cause_descrN/A,-0.10057035843025683,0.3545198543378127,-0.2836804686668577,0.7766552638378295
cause_descrUnder Investigation,0.18184522695355998,0.11135016493922349,1.6330934673766644,0.10244934032153064
year2008,-0.03189318921805219,0.143843979372156,-0.2217207098778705,0.8245313071959757
year2009,-0.16564558798342469,0.1462379635270812,-1.1327126280225412,0.25733495286382324
year2010,-0.46951087159089033,0.1535949243640316,-3.0568124144396465,0.002237042247089295
year2011,-0.22124440551905364,0.12038092780371266,-1.837869250183917,0.06608167421187339
year2012,-0.05346641802508544,0.10668945209723459,-0.50114061862795245,0.6162721620629967
year2013,-0.23753809364819292,0.1181841886713107,-2.009897400986732,0.044442048899699854
PC1,0.006697852827979106,0.023094391792212832,0.290020749983013,0.7718003633083212
PC2,0.09167835536874139,0.03304088476857609,2.7746943222275067,0.005525361395544516
PC3,0.006296395546360433,0.04272798143092691,0.14736000474394148,0.8828478724212243
PC4,0.029116106815697356,0.018608948600330053,1.5646293318893334,0.11766984714039026
PC5,-0.09324136676426718,0.05474982494200219,-1.7030441076850933,0.08855981438160859
PC6,0.00383178869485946,0.028563197013009904,0.13415125390600235,0.8932829711353533
PC7,-0.022615138566538347,0.027131504617095428,-0.8335379436453613,0.4045414076092375
PC8,0.02353826602353916,0.04342451480406869,0.5420501790231569,0.5877839385149997
PC9,-0.03149201157291904,0.02968253353526645,-1.0609610374229919,0.2887076083554017
PC10,0.011469420535621104,0.04126320765719924,0.27795756042296,0.7810449372962988
PC11,0.015629264411801385,0.03954522923105069,0.3952250300658107,0.6926768219036312
PC12,0.042419699067134754,0.042050361460906995,1.0087832207238248,0.3130786098824027
PC13,-0.1027571047876642,0.03976440902489994,-2.584147666404877,0.009761998873645164
PC14,0.16153664606511367,0.05161245730867079,3.1297995578671243,0.0017492561825414074
PC15,-0.03176807697968397,0.027792265514544952,-1.1430546013983027,0.25301592173960175
PC16,0.0033870615284405294,0.04781918874584997,0.07083059368577177,0.9435325827264425
PC17,-0.01844320396756478,0.04157722149019081,-0.4435891410376239,0.6573396580792275
PC18,0.03520879521043549,0.04208756250679404,0.8365605683330286,0.4028396179160855
PC19,-0.01732027252364579,0.04750255783262663,-0.36461768195037164,0.7153968139647064
PC20,-0.001562235990896368,0.04417783587443017,-0.035362438199481365,0.9717907359411365
doy_cos:gaccNO,0.1085438379053793,0.14403487206121138,0.7535941564154739,0.4510929542786754
doy_cos:gaccNR,-0.10862706348766216,0.11993639278908375,-0.9057056074605327,0.3650916937183033
doy_cos:gaccNW,-0.06528426416451956,0.12211359308815407,-0.5346191403719543,0.5929132454563091
doy_cos:gaccRM,-0.11617115958422795,0.15106512841953781,-0.7690137412891055,0.44188515311275023
doy_cos:gaccSO,0.055373192509927456,0.11943476405328234,0.46362709340828373,0.642914939662744
doy_cos:gaccSW,0.018176928994652584,0.11039018280450992,0.16466073823649813,0.8692110214234117
doy_cos:gaccWB,0.14064485314007866,0.1599241909850787,0.8794470197019858,0.37915894731719824
Effron R2,0.2353594676989298,NA,NA,NA
