term,estimate,std.error,statistic,p.value
(Intercept),-2.350521740127006,0.480485541733688,-4.891971840912951,9.983073018269152e-7
L1.prcp,-0.05425622736406422,0.024956143905628496,-2.174062930925299,0.029700409386242545
L1.rmin,-0.03132483220184726,0.006074614391178813,-5.15667829835179,2.513691224680319e-7
L1.tmax,0.05207634426403924,0.007285186810234595,7.148251049771268,8.7890466377872135e-013
L1.wind,0.060142006737162225,0.011760106048052717,5.114070102039664,3.1529025935628964e-7
L1.bi,0.0022044029533820715,0.003689808862424933,0.5974301205221084,0.5502202488539655
L1.erc,-0.0017645202578289783,0.004187230214699466,-0.42140512160868254,0.6734592799144932
L1.sfwp2,0.13791598750515566,0.15498946191308338,0.8898410627588192,0.37355123422539055
L1.sfwp3,0.24844389250706883,0.16904010331991873,1.469733439744021,0.14163396227508446
L1.sfwp4,0.23341483478798383,0.18463138302339777,1.2642208002006023,0.20615078710228912
L1.sfwp5,0.23331140036501363,0.22754152932143337,1.0253574416098326,0.30519456137657885
terrainHigh,0.18688694418447577,0.09480478826110617,1.9712817001369378,0.04869166334451
terrainLow,0.02447261037763823,0.23738977119380011,0.10309041646811014,0.9178912110482785
doy_cos,0.027282445425465957,0.07690748277412263,0.35474370557146606,0.7227816052783338
gaccNO,0.033579290213999004,0.21108091021722822,0.15908255360203719,0.8736038333810567
gaccNR,-0.12536461643535626,0.13301648090271873,-0.9424743128412889,0.34594985635619946
gaccNW,0.11495355471317664,0.13122882235329636,0.8759779494454109,0.38104202132097154
gaccRM,-0.41174413357356576,0.16539075035435719,-2.48952334209371,0.012791451865372167
gaccSO,0.12577745558476155,0.13439266376684708,0.9358952494830244,0.3493271233358693
gaccSW,-0.19633273551735717,0.13671818190883697,-1.436039689646187,0.15099104781855868
gaccWB,0.28390379391721826,0.1411173723024737,2.011827383723482,0.044238136257749264
"splines::ns(L1.area, df = 3)1",2.096849597296802,0.28429940497048256,7.3754976642125145,1.6373227077705345e-13
"splines::ns(L1.area, df = 3)2",2.892178941840853,0.1993445330803218,14.508443733821927,1.0712346466667321e-47
"splines::ns(L1.area, df = 3)3",0.9127954541081205,0.33708606156890175,2.707900320350509,0.0067710355674773385
cause_descrLightning,0.1374933118274491,0.09674340620922331,1.4212163620753386,0.1552538694114986
cause_descrN/A,-0.10719477656401902,0.34859907933955214,-0.3075016054749995,0.758461601196885
cause_descrUnder Investigation,0.18303324814245203,0.11068617245213858,1.6536234299871269,0.09820404907573392
year2008,-0.035700431517655215,0.1439315599142514,-0.2480375502004153,0.8041053535421687
year2009,-0.16529244063806542,0.14595604819094798,-1.132480926188276,0.2574322989245744
year2010,-0.46624537233834856,0.1538232170338804,-3.0310468167861515,0.0024370745696266653
year2011,-0.20798099221659802,0.12181252996031147,-1.707385868139851,0.08775035528074601
year2012,-0.04647917091072823,0.10777678705136653,-0.43125400359704735,0.6662836909973244
year2013,-0.23926398056560702,0.11842550340182945,-2.020375457081746,0.043344457206608296
PC1,0.005223333558510321,0.02317314512985462,0.2254046021478954,0.8216645317650969
PC2,0.09306905871074146,0.03306416284063365,2.814801607387616,0.0048807354466109286
PC3,0.004955207145257254,0.04241554202685412,0.11682526990035903,0.9069985183812841
PC4,0.02763979806135055,0.018825295696504905,1.4682265026244523,0.1420427075454742
PC5,-0.09222362663919306,0.05416743752858397,-1.7025658005425672,0.08864935473444147
PC6,0.0034095405372948843,0.028781118061425786,0.1184644922416881,0.9056996280285007
PC7,-0.021971272668245053,0.02743329323884274,-0.8008981086213877,0.42319063516174565
PC8,0.02226792045445104,0.043367028639074545,0.5134758168418116,0.6076185229055879
PC9,-0.031207286580859316,0.029637365966105916,-1.0529709899506186,0.29235428805859404
PC10,0.009231858363055878,0.04124093479826319,0.22385182121149846,0.8228726054693377
PC11,0.012865296891706561,0.04048926057791301,0.3177459086206334,0.7506776844013896
PC12,0.043188586052991626,0.04218434377232193,1.0238060424997912,0.3059268957717682
PC13,-0.09921377668806838,0.040557659129092045,-2.446240212539837,0.014435478734774139
PC14,0.15526735703339367,0.05282817036648249,2.9391015429128893,0.003291652122973988
PC15,-0.0315111920551048,0.027787434062705948,-1.1340087027825496,0.25679089749164535
PC16,0.0031514809491776435,0.04770349728086511,0.06606393930873847,0.9473269203686692
PC17,-0.017500093674559996,0.041747500525171975,-0.4191890162144721,0.6750779987500641
PC18,0.0348605828005095,0.04206761792626937,0.828679742732488,0.40728565146724743
PC19,-0.012470976365590265,0.048033255714410444,-0.25963212736897306,0.7951475518726521
PC20,-0.002502881805624567,0.044334957208034716,-0.05645391274159109,0.9549802092400437
doy_cos:gaccNO,0.10745088496976819,0.14472561450753582,0.7424455258690454,0.4578174450056874
doy_cos:gaccNR,-0.1063430949123653,0.11969843282217608,-0.8884251230786666,0.37431211636940676
doy_cos:gaccNW,-0.06237338731997224,0.12117515841615877,-0.5147374109944197,0.6067365271938101
doy_cos:gaccRM,-0.11920451934771005,0.1519888392621674,-0.7842978466470996,0.432865362710581
doy_cos:gaccSO,0.05660983398111415,0.11841442590277394,0.4780653501423429,0.6326036930245806
doy_cos:gaccSW,0.02273025924283317,0.10954810203665521,0.20749112782645507,0.8356263208801812
doy_cos:gaccWB,0.1463702797096907,0.1606985506122265,0.9108375847327297,0.36238095597667475
Effron R2,0.23653230218396293,NA,NA,NA
