	(1)	(2)	(3)	(4)
	ol_all	ol_raw	ol_index	ol_sfwp
VARIABLES	growth_potential1	growth_potential1	growth_potential1	growth_potential1
				
prcp	-0.062***	-0.083***		
	(0.014)	(0.014)		
rmin	-0.010**	-0.029***		
	(0.005)	(0.004)		
tmax	0.039***	0.042***		
	(0.007)	(0.006)		
wind	0.012	0.053***		
	(0.011)	(0.009)		
bi	0.003		0.012***	
	(0.003)		(0.002)	
erc	0.004		0.028***	
	(0.004)		(0.003)	
2.sfwp	0.299**			0.548***
	(0.117)			(0.105)
3.sfwp	0.624***			1.037***
	(0.137)			(0.110)
4.sfwp	0.901***			1.458***
	(0.158)			(0.113)
5.sfwp	0.965***			1.608***
	(0.200)			(0.139)
2.gacc1	-0.277*	-0.247	-0.258	-0.310*
	(0.166)	(0.167)	(0.167)	(0.167)
3.gacc1	0.132	0.211	0.314**	-0.057
	(0.147)	(0.142)	(0.143)	(0.137)
4.gacc1	0.096	0.169	0.227*	-0.081
	(0.140)	(0.136)	(0.135)	(0.131)
5.gacc1	-0.180	-0.201	-0.185	-0.193
	(0.127)	(0.128)	(0.125)	(0.123)
6.gacc1	-0.141	-0.243*	-0.352**	-0.179
	(0.145)	(0.147)	(0.143)	(0.140)
7.gacc1	-0.598***	-0.718***	-0.829***	-0.395***
	(0.135)	(0.128)	(0.133)	(0.127)
8.gacc1	-0.406***	-0.446***	-0.560***	-0.328**
	(0.150)	(0.160)	(0.167)	(0.145)
doy_cos	-0.052	-0.058	-0.035	-0.029
	(0.046)	(0.046)	(0.045)	(0.044)
1b.gacc1#co.doy_cos	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
2.gacc1#c.doy_cos	0.274**	0.276***	0.236**	0.233**
	(0.110)	(0.107)	(0.107)	(0.108)
3.gacc1#c.doy_cos	0.051	0.074	0.041	0.034
	(0.059)	(0.059)	(0.059)	(0.059)
4.gacc1#c.doy_cos	-0.058	-0.049	-0.059	-0.070
	(0.075)	(0.075)	(0.074)	(0.074)
5.gacc1#c.doy_cos	0.109	0.118	0.090	0.084
	(0.076)	(0.075)	(0.076)	(0.076)
6.gacc1#c.doy_cos	0.047	0.054	0.029	0.031
	(0.074)	(0.074)	(0.073)	(0.073)
7.gacc1#c.doy_cos	-0.021	-0.024	-0.034	-0.035
	(0.066)	(0.066)	(0.065)	(0.064)
8.gacc1#c.doy_cos	-0.068	-0.062	-0.101	-0.099
	(0.122)	(0.121)	(0.122)	(0.120)
2.cause_desc1	0.425***	0.364***	0.459***	0.466***
	(0.103)	(0.101)	(0.100)	(0.100)
3.cause_desc1	0.890***	0.879***	0.918***	0.896***
	(0.302)	(0.287)	(0.311)	(0.318)
4.cause_desc1	0.412***	0.387***	0.432***	0.422***
	(0.116)	(0.115)	(0.111)	(0.114)
2.terrain1	0.632***	0.649***	0.638***	0.585***
	(0.193)	(0.188)	(0.193)	(0.193)
3.terrain1	1.030***	1.059***	1.019***	1.004***
	(0.192)	(0.187)	(0.191)	(0.192)
4.terrain1	1.162***	1.195***	1.133***	1.138***
	(0.200)	(0.196)	(0.200)	(0.200)
2.year1	-0.047	0.008	-0.066	-0.134
	(0.116)	(0.116)	(0.114)	(0.113)
3.year1	0.102	0.060	0.095	0.083
	(0.129)	(0.130)	(0.127)	(0.129)
4.year1	-0.037	-0.125	-0.047	-0.073
	(0.115)	(0.116)	(0.117)	(0.115)
5.year1	0.018	-0.030	0.008	-0.004
	(0.118)	(0.121)	(0.123)	(0.118)
6.year1	0.106	0.095	0.110	0.137
	(0.118)	(0.117)	(0.117)	(0.115)
7.year1	-0.165	-0.168	-0.169	-0.153
