skim_type,skim_variable,n_missing,complete_rate,factor.ordered,factor.n_unique,factor.top_counts,numeric.mean,numeric.sd,numeric.min,numeric.max
factor,growth_potential,0,1,FALSE,3,"Hig: 2086, Med: 1103, Low: 546",NA,NA,NA,NA
factor,terrain,0,1,FALSE,3,"Hig: 3199, Med: 470, Low: 66",NA,NA,NA,NA
factor,L1.evac,0,1,FALSE,2,"No: 2902, Yes: 833",NA,NA,NA,NA
factor,evac_potential,0,1,FALSE,2,"No: 2451, Yes: 1284",NA,NA,NA,NA
factor,year,0,1,FALSE,7,"201: 987, 200: 717, 201: 587, 201: 539",NA,NA,NA,NA
factor,gacc,0,1,FALSE,8,"EB: 702, NR: 683, SW: 622, SO: 435",NA,NA,NA,NA
factor,L0.sfwp,0,1,FALSE,5,"4: 1422, 3: 1227, 2: 502, 5: 457",NA,NA,NA,NA
numeric,Wildland_Engines,0,1,NA,NA,NA,5.18714859437751,17.49449514101587,0,318
numeric,Structure_Engines,0,1,NA,NA,NA,1.1801874163319945,10.215326789243505,0,325
numeric,Dozers,0,1,NA,NA,NA,0.6465863453815262,2.8275508685566035,0,65
numeric,Type_1_Crews,0,1,NA,NA,NA,1.476037483266399,5.4642433484289095,0,81
numeric,Type_2_Crews,0,1,NA,NA,NA,0.6586345381526104,1.8429034865898422,0,27
numeric,VLAT,0,1,NA,NA,NA,0.13279785809906292,0.6842266525405382,0,12
numeric,T2_4_Airtanker,0,1,NA,NA,NA,2.2340026773761714,3.8839444573004744,0,31
numeric,Helicopters,0,1,NA,NA,NA,0.815528781793842,1.562987413481519,0,19
numeric,growth,0,1,NA,NA,NA,1.6543126372155288,2.916005033276361,9.999999999994458e-4,20.674
numeric,L1.area,0,1,NA,NA,NA,14.874061365461847,36.223122313323834,1e-4,532.086
numeric,L0.bi,0,1,NA,NA,NA,58.86532797858099,13.979701214834055,26,103
numeric,L0.erc,0,1,NA,NA,NA,71.63186774179384,13.10713703483469,25.1459007,113.0270004
numeric,L0.prcp,0,1,NA,NA,NA,0.39595451137884874,1.370067284387788,0,12.7786
numeric,L0.rmin,0,1,NA,NA,NA,16.53437089692102,8.138465200715238,1,57.2536
numeric,L0.tmax,0,1,NA,NA,NA,26.861142516733626,5.8757427420708686,4.483100000000036,45.480500000000006
numeric,L0.wind,0,1,NA,NA,NA,7.918297340669344,2.803554361511917,1.9499929000000003,18.1863626
3735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
